"","state","name","col_ruler","ind_from","ind_date","named_ind_from","gdp_val","cm_val","hdi_val","lit_val","year","gdp"
"1",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1990,558639235991.033
"2",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1991,565254822328.46
"3",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1992,583241220049.607
"4",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1993,612913183089.178
"5",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1994,654130180279.828
"6",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1995,685729009928.918
"7",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1996,709534832506.255
"8",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1997,752658535833.924
"9",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1998,790676663567.942
"10",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1999,843508200300.636
"11",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2000,898020479483.858
"12",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2001,933966675428.964
"13",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2002,967558830682.98
"14",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2003,1019730451626.06
"15",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2004,1079498291362.09
"16",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2005,1167581267653.45
"17",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2006,1237673297916.9
"18",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2007,1297136794657.57
"19",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2008,1339060588630.82
"20",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2009,1304713188102.99
"21",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2010,1360616928113.19
"22",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2011,1427466965184.4
"23",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2012,1464565119752.66
"24",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2013,1550271241830.07
"25",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2014,1617561717808.96
"26",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2015,1591202432043.49
"27",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2016,1625347343803.71
"28",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2017,1707282552959.01
"29",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2018,1782786420987.94
"30",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1990,NA
"31",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1991,NA
