"","state","name","col_ruler","ind_from","ind_date","named_ind_from","gdp_val","cm_val","hdi_val","lit_val","year","hdi"
"1",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1990,0.849
"2",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1991,0.853
"3",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1992,0.856
"4",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1993,0.854
"5",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1994,0.859
"6",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1995,0.861
"7",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1996,0.863
"8",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1997,0.862
"9",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1998,0.861
"10",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,1999,0.864
"11",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2000,0.867
"12",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2001,0.872
"13",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2002,0.877
"14",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2003,0.882
"15",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2004,0.887
"16",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2005,0.892
"17",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2006,0.895
"18",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2007,0.897
"19",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2008,0.899
"20",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2009,0.899
"21",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2010,0.902
"22",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2011,0.905
"23",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2012,0.908
"24",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2013,0.911
"25",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2014,0.918
"26",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2015,0.92
"27",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2016,0.922
"28",20,"Canada",200,200,1867,"England",1782786420987.94,5,0.926,NA,2017,0.926
"29",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1990,NA
"30",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1991,NA
"31",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1992,NA
"32",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1993,NA
"33",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1994,NA
"34",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1995,NA
"35",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1996,NA
"36",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1997,NA
"37",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1998,NA
"38",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,1999,NA
"39",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2000,0.776
"40",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2001,0.779
"41",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2002,0.781
"42",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2003,0.782
"43",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2004,0.784
"44",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2005,0.786
"45",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2006,0.788
"46",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2007,0.789
"47",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2008,0.79
"48",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2009,0.787
"49",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2010,0.789
"50",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2011,0.793
"51",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2012,0.807
"52",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2013,0.807
"53",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2014,0.807
"54",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2015,0.807
"55",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2016,0.806
"56",31,"Bahamas",200,200,1973,"England",NA,NA,0.807,NA,2017,0.807
"57",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1990,0.676
"58",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1991,0.67
"59",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1992,0.663
"60",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1993,0.656
"61",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1994,0.652
"62",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1995,0.654
"63",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1996,0.665
"64",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1997,0.669
"65",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1998,0.672
"66",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,1999,0.679
"67",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2000,0.686
"68",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2001,0.692
"69",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2002,0.694
"70",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2003,0.704
"71",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2004,0.718
"72",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2005,0.731
"73",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2006,0.753
"74",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2007,0.77
"75",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2008,0.78
"76",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2009,0.782
"77",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2010,0.779
"78",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2011,0.778
"79",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2012,0.767
"80",40,"Cuba",230,2,1902,"United States",NA,5,0.777,NA,2013,0.765
