"","year","named_ind_from","mean_cm"
"1",1960,"England",148.983870967742
"2",1960,"France",222.014285714286
"3",1960,"Netherlands",128.35
"4",1960,"No Colonizer",129.875
"5",1960,"Other",139.65
"6",1960,"Portugal",169.2
"7",1960,"Russia",26.9
"8",1960,"Spain",151.957142857143
"9",1960,"Turkey",46.3
"10",1960,"United States",112.75
"11",1961,"England",149.703125
"12",1961,"France",225.475
"13",1961,"Netherlands",124.7
"14",1961,"No Colonizer",127.191666666667
"15",1961,"Other",136.294444444444
"16",1961,"Portugal",164.5
"17",1961,"Russia",25.2
"18",1961,"Spain",147.2
"19",1961,"Turkey",45.1
"20",1961,"United States",108.3
"21",1962,"England",144.26875
"22",1962,"France",221.6
"23",1962,"Netherlands",121.25
"24",1962,"No Colonizer",124.266666666667
"25",1962,"Other",133.244444444444
"26",1962,"Portugal",159.9
"27",1962,"Russia",23.8
"28",1962,"Spain",142.871428571429
"29",1962,"Turkey",158.4
"30",1962,"United States",104.2
"31",1963,"England",138.611764705882
"32",1963,"France",250.57
"33",1963,"Netherlands",117.9
"34",1963,"No Colonizer",121.066666666667
"35",1963,"Other",130.45
"36",1963,"Portugal",155.7
"37",1963,"Russia",22.5
"38",1963,"Spain",138.714285714286
"39",1963,"Turkey",144.9
"40",1963,"United States",85.1333333333333
"41",1964,"England",139.414285714286
"42",1964,"France",246.59
"43",1964,"Netherlands",86.4333333333333
"44",1964,"No Colonizer",117.75
"45",1964,"Other",133.831578947368
"46",1964,"Portugal",210.05
"47",1964,"Russia",21.3
"48",1964,"Spain",134.342857142857
"49",1964,"Turkey",137.8
"50",1964,"United States",82.0333333333333
"51",1965,"England",135.071428571429
"52",1965,"France",242.43
"53",1965,"Netherlands",83.7666666666667
"54",1965,"No Colonizer",114.491666666667
"55",1965,"Other",129.47
"56",1965,"Portugal",171.866666666667
"57",1965,"Russia",20.2
"58",1965,"Spain",129.671428571429
"59",1965,"Turkey",131.96
"60",1965,"United States",79.1
"61",1966,"England",137.241666666667
"62",1966,"France",238.12
"63",1966,"Netherlands",81.1
"64",1966,"No Colonizer",121.661538461538
"65",1966,"Other",127.265
"66",1966,"Portugal",170.033333333333
"67",1966,"Russia",19.2
"68",1966,"Spain",125.071428571429
"69",1966,"Turkey",127.62
"70",1966,"United States",76.4
"71",1967,"England",132.840540540541
"72",1967,"France",240.972727272727
"73",1967,"Netherlands",78.4666666666667
"74",1967,"No Colonizer",118.907692307692
"75",1967,"Other",123.847619047619
"76",1967,"Portugal",168.3
"77",1967,"Russia",22.75
"78",1967,"Spain",120.8
"79",1967,"Turkey",123.54
"80",1967,"United States",73.8333333333333
"81",1968,"England",128.983783783784
"82",1968,"France",237.136363636364
"83",1968,"Netherlands",75.9
"84",1968,"No Colonizer",116.276923076923
"85",1968,"Other",122.02380952381
"86",1968,"Portugal",166.666666666667
"87",1968,"Russia",21.95
"88",1968,"Spain",117
"89",1968,"Turkey",118.48
"90",1968,"United States",71.4
"91",1969,"England",123.710526315789
"92",1969,"France",233.2
"93",1969,"Netherlands",73.3
"94",1969,"No Colonizer",113.676923076923
"95",1969,"Other",127.527272727273
"96",1969,"Portugal",165.166666666667
"97",1969,"Russia",20.85
"98",1969,"Spain",108.45
"99",1969,"Turkey",112.24
"100",1969,"United States",69.1666666666667
"101",1970,"England",119.95
"102",1970,"France",229.325
"103",1970,"Netherlands",70.7333333333333
"104",1970,"No Colonizer",111.030769230769
"105",1970,"Other",125.327272727273
"106",1970,"Portugal",163.766666666667
"107",1970,"Russia",19.6
"108",1970,"Spain",105.6125
"109",1970,"Turkey",105.6
"110",1970,"United States",67.0666666666667
"111",1971,"England",116.302631578947
"112",1971,"France",225.591666666667
"113",1971,"Netherlands",68.2
"114",1971,"No Colonizer",108.353846153846
"115",1971,"Other",122.972727272727
"116",1971,"Portugal",162.4
"117",1971,"Russia",44.1
"118",1971,"Spain",102.8875
"119",1971,"Turkey",99.48
"120",1971,"United States",65.2
"121",1972,"England",112.728947368421
"122",1972,"France",224.269230769231
"123",1972,"Netherlands",65.7
"124",1972,"No Colonizer",109.535714285714
"125",1972,"Other",120.422727272727
"126",1972,"Portugal",161
"127",1972,"Russia",61.5166666666667
"128",1972,"Spain",100.125
"129",1972,"Turkey",93.98
"130",1972,"United States",63.5666666666667
"131",1973,"England",109.213157894737
"132",1973,"France",220.830769230769
"133",1973,"Netherlands",63.2666666666667
"134",1973,"No Colonizer",106.371428571429
"135",1973,"Other",117.795454545455
"136",1973,"Portugal",159.766666666667
"137",1973,"Russia",59.85
"138",1973,"Spain",97.1125
"139",1973,"Turkey",89.14
"140",1973,"United States",62.1666666666667
"141",1974,"England",104.38
"142",1974,"France",217.269230769231
"143",1974,"Netherlands",60.8666666666667
"144",1974,"No Colonizer",97.9333333333333
"145",1974,"Other",119.408695652174
"146",1974,"Portugal",158.466666666667
"147",1974,"Russia",58.3
"148",1974,"Spain",93.7875
"149",1974,"Turkey",84.58
"150",1974,"United States",61.0666666666667
"151",1975,"England",100.39756097561
"152",1975,"France",220.314285714286
"153",1975,"Netherlands",58.6666666666667
"154",1975,"No Colonizer",94.9333333333333
"155",1975,"Other",116.473913043478
"156",1975,"Portugal",157.166666666667
"157",1975,"Russia",58.9428571428571
"158",1975,"Spain",90.1125
"159",1975,"Turkey",79.92
"160",1975,"United States",60.1
"161",1976,"England",97.0536585365854
"162",1976,"France",211.953333333333
"163",1976,"Netherlands",56.6
"164",1976,"No Colonizer",92.0133333333333
"165",1976,"Other",113.273913043478
"166",1976,"Portugal",155.733333333333
"167",1976,"Russia",60.9
"168",1976,"Spain",86.275
"169",1976,"Turkey",75.02
"170",1976,"United States",59.2666666666667
"171",1977,"England",93.9
"172",1977,"France",206.18
"173",1977,"Netherlands",54.6666666666667
"174",1977,"No Colonizer",89.1733333333333
"175",1977,"Other",117.841666666667
"176",1977,"Portugal",154.233333333333
"177",1977,"Russia",67.7
"178",1977,"Spain",82.4375
"179",1977,"Turkey",70.1
"180",1977,"United States",58.4666666666667
"181",1978,"England",90.9585365853658
"182",1978,"France",195.4375
"183",1978,"Netherlands",52.9
"184",1978,"No Colonizer",86.3333333333333
"185",1978,"Other",116.504
"186",1978,"Portugal",152.9
"187",1978,"Russia",65.7888888888889
"188",1978,"Spain",78.725
"189",1978,"Turkey",70.45
"190",1978,"United States",57.5333333333333
"191",1979,"England",86.6428571428571
"192",1979,"France",189.3
"193",1979,"Netherlands",51.2
"194",1979,"No Colonizer",83.5933333333333
"195",1979,"Other",112.528
"196",1979,"Portugal",151.5
"197",1979,"Russia",65.6090909090909
"198",1979,"Spain",75.2875
"199",1979,"Turkey",65.6
"200",1979,"United States",56.6
"201",1980,"England",84.1404761904762
"202",1980,"France",183.21875
"203",1980,"Netherlands",49.5666666666667
"204",1980,"No Colonizer",80.9266666666667
"205",1980,"Other",108.508
"206",1980,"Portugal",172.175
"207",1980,"Russia",57.0384615384615
"208",1980,"Spain",72.125
"209",1980,"Turkey",61.0333333333333
"210",1980,"United States",55.5666666666667
"211",1981,"England",81.8190476190476
"212",1981,"France",177.3
"213",1981,"Netherlands",48
"214",1981,"No Colonizer",78.3333333333333
"215",1981,"Other",98.2888888888889
"216",1981,"Portugal",170.65
"217",1981,"Russia",55.1153846153846
"218",1981,"Spain",69.1375
"219",1981,"Turkey",56.6833333333333
"220",1981,"United States",54.5
"221",1982,"England",79.6833333333333
"222",1982,"France",171.81875
"223",1982,"Netherlands",46.4333333333333
"224",1982,"No Colonizer",75.8133333333333
"225",1982,"Other",98.3785714285714
"226",1982,"Portugal",168.975
"227",1982,"Russia",57.2142857142857
"228",1982,"Spain",81.2222222222222
"229",1982,"Turkey",52.6166666666667
"230",1982,"United States",53.3666666666667
"231",1983,"England",77.7976190476191
"232",1983,"France",166.85
"233",1983,"Netherlands",48.125
"234",1983,"No Colonizer",73.4066666666667
"235",1983,"Other",94.9857142857143
"236",1983,"Portugal",167.525
"237",1983,"Russia",55.2642857142857
"238",1983,"Spain",78.3222222222222
"239",1983,"Turkey",48.9
"240",1983,"United States",52.1
"241",1984,"England",76.1571428571429
"242",1984,"France",162.3625
"243",1984,"Netherlands",46.575
"244",1984,"No Colonizer",71.1666666666667
"245",1984,"Other",87.58
"246",1984,"Portugal",166.175
"247",1984,"Russia",53.2642857142857
"248",1984,"Spain",75.5777777777778
"249",1984,"Turkey",45.5833333333333
"250",1984,"United States",50.7666666666667
"251",1985,"England",72.7954545454545
"252",1985,"France",158.36875
"253",1985,"Netherlands",45.1
"254",1985,"No Colonizer",60.0111111111111
"255",1985,"Other",84.1903225806452
"256",1985,"Portugal",180.54
"257",1985,"Russia",51.2785714285714
"258",1985,"Spain",73.0444444444444
"259",1985,"Turkey",42.7666666666667
"260",1985,"United States",46.075
"261",1986,"England",71.4727272727273
"262",1986,"France",154.73125
"263",1986,"Netherlands",43.625
"264",1986,"No Colonizer",58.3111111111111
"265",1986,"Other",81.3451612903226
"266",1986,"Portugal",178.6
"267",1986,"Russia",49.3785714285714
"268",1986,"Spain",70.7
"269",1986,"Turkey",40.4
"270",1986,"United States",44.8
"271",1987,"England",70.1704545454545
"272",1987,"France",151.4875
"273",1987,"Netherlands",42.125
"274",1987,"No Colonizer",56.7666666666667
"275",1987,"Other",78.6225806451613
"276",1987,"Portugal",176.86
"277",1987,"Russia",47.6571428571429
"278",1987,"Spain",68.5
"279",1987,"Turkey",38.3333333333333
"280",1987,"United States",43.375
"281",1988,"England",68.8386363636364
"282",1988,"France",148.6375
"283",1988,"Netherlands",40.675
"284",1988,"No Colonizer",55.2888888888889
"285",1988,"Other",76.1322580645161
"286",1988,"Portugal",175.14
"287",1988,"Russia",48.1857142857143
"288",1988,"Spain",66.4555555555556
"289",1988,"Turkey",36.2833333333333
"290",1988,"United States",41.8
"291",1989,"England",67.4909090909091
"292",1989,"France",146.09375
"293",1989,"Netherlands",39.175
"294",1989,"No Colonizer",53.8444444444444
"295",1989,"Other",73.8516129032258
"296",1989,"Portugal",173.46
"297",1989,"Russia",45.2642857142857
"298",1989,"Spain",64.4555555555555
"299",1989,"Turkey",34.2666666666667
"300",1989,"United States",40.2
"301",1990,"England",66.2113636363636
"302",1990,"France",143.70625
"303",1990,"Netherlands",37.7
"304",1990,"No Colonizer",52.3444444444444
"305",1990,"Other",71.7935483870968
"306",1990,"Portugal",171.7
"307",1990,"Russia",44.8785714285714
"308",1990,"Spain",62.4888888888889
"309",1990,"Turkey",32.4833333333333
"310",1990,"United States",38.6
"311",1991,"England",65.0295454545455
"312",1991,"France",141.43125
"313",1991,"Netherlands",36.175
"314",1991,"No Colonizer",50.7277777777778
"315",1991,"Other",69.9451612903226
"316",1991,"Portugal",169.8
"317",1991,"Russia",45.0214285714286
"318",1991,"Spain",60.5666666666667
"319",1991,"Turkey",30.9166666666667
"320",1991,"United States",37.025
"321",1992,"England",63.8295454545455
"322",1992,"France",139.1875
"323",1992,"Netherlands",34.675
"324",1992,"No Colonizer",48.9888888888889
"325",1992,"Other",68.358064516129
