"","year","named_ind_from","mean_gdp"
"1",1990,"England",83526156496.5433
"2",1990,"France",18430098068.2648
"3",1990,"Netherlands",186407906736.81
"4",1990,"No Colonizer",472919432301.167
"5",1990,"Other",38155687005.6311
"6",1990,"Portugal",260212845761.804
"7",1990,"Russia",78449423628.7857
"8",1990,"Spain",156910439557.314
"9",1990,"Turkey",67127109518.9486
"10",1990,"United States",80648127120.7332
"11",1991,"England",85161961764.396
"12",1991,"France",19382140459.6167
"13",1991,"Netherlands",203598485792.804
"14",1991,"No Colonizer",503303971236.489
"15",1991,"Other",41521956416.0717
"16",1991,"Portugal",273068739021.174
"17",1991,"Russia",74958207350.6853
"18",1991,"Spain",169588059902.104
"19",1991,"Turkey",66676498383.9126
"20",1991,"United States",82893567979.1066
"21",1992,"England",89977728463.1921
"22",1992,"France",20114122678.9127
"23",1992,"Netherlands",219071146669.221
"24",1992,"No Colonizer",522866645170.131
"25",1992,"Other",42145858794.7292
"26",1992,"Portugal",277424240386.152
"27",1992,"Russia",68433414353.0812
"28",1992,"Spain",180943145050.211
"29",1992,"Turkey",66956493197.885
"30",1992,"United States",85072078181.0733
"31",1993,"England",96185817494.0988
"32",1993,"France",19705396059.5593
"33",1993,"Netherlands",234750066378.454
"34",1993,"No Colonizer",538313241000.648
"35",1993,"Other",44668947647.1227
"36",1993,"Portugal",294575607195.642
"37",1993,"Russia",62552154055.0677
"38",1993,"Spain",204121939852.485
"39",1993,"Turkey",69002606586.702
"40",1993,"United States",88932731792.7758
"41",1994,"England",103125243950.818
"42",1994,"France",19956354914.814
"43",1994,"Netherlands",255394251494.252
"44",1994,"No Colonizer",560200130810.002
"45",1994,"Other",45956036177.3236
"46",1994,"Portugal",316624950363.404
"47",1994,"Russia",50850085918.3626
"48",1994,"Spain",219500444537.602
"49",1994,"Turkey",72538011580.8036
"50",1994,"United States",94817974610.1756
"51",1995,"England",110848277373.772
"52",1995,"France",21269099805.878
"53",1995,"Netherlands",278774945871.252
"54",1995,"No Colonizer",589304193822.646
"55",1995,"Other",48612584472.5296
"56",1995,"Portugal",338319596486.899
"57",1995,"Russia",40699526648.829
"58",1995,"Spain",222012567406.643
"59",1995,"Turkey",76932622290.0602
"60",1995,"United States",101337552021.359
"61",1996,"England",119116252179.031
"62",1996,"France",22693641917.2539
"63",1996,"Netherlands",301288893775.666
"64",1996,"No Colonizer",620347352846.104
"65",1996,"Other",51838517380.3502
"66",1996,"Portugal",353427243022.156
"67",1996,"Russia",40501077746.507
"68",1996,"Spain",237694465868.781
"69",1996,"Turkey",79435426993.7376
"70",1996,"United States",109214822270.948
"71",1997,"England",126615833687.029
"72",1997,"France",23587128205.4038
"73",1997,"Netherlands",319827390678.331
"74",1997,"No Colonizer",602722564623.369
"75",1997,"Other",55544716901.1361
"76",1997,"Portugal",372241693575.545
"77",1997,"Russia",42330653930.2886
"78",1997,"Spain",257217997965.86
"79",1997,"Turkey",80364946817.392
"80",1997,"United States",116851862860.703
"81",1998,"England",133914439879.379
"82",1998,"France",24990454222.5153
"83",1998,"Netherlands",291023779770.41
"84",1998,"No Colonizer",618291851919.338
"85",1998,"Other",58102963064.1097
"86",1998,"Portugal",378249534324.291
